saleCode,storeCode,customerUUID,salesPersonUUID,date
xZbG,tADqZh,,jWvPSbSy-70Xk-lVGy-Axgn-e6571UElOQFI,2022-05-11
Q3mS,CSMXK5,tp1TmRXO-5nCp-Uuiw-dAox-3st4UkxGHc06,szXF8gWb-srXE-411C-9ZMj-CzOMHtn4RyNJ,
qsxs,fQqrFj,26u41jad-oRvA-d1S4-6u2M-dhgOUK2uwvWx,AUs2pIr9-CCUF-eYrk-Xeqs-95QLcHsla4GJ,2022-06-19
,,2EZojQxf-Rf6J-XX6H-xQDk-JGXJBbsgB2Lm,alpF652e-0D3B-sqjV-2wg4-STBkJhKXufGW,
0vK1,y4dItY,vvahzkAv-bB0v-ePOE-5vjs-2TDuGCxDltv8,rTGiW5YP-Lyjh-nZQG-Yc7Y-QDNTk4cc6WjL,2022-09-19
CxRD,9DeioW,eS5PaoYq-mB46-d0KP-Ffdy-yTDh8mWxsdGd,HjccwLy4-82A9-moQo-IDC3-LwF3TVECGHfQ,2023-12-27
,8BUpkJ,zM5dWUwB-Fw13-5I7O-mjuN-KSWx3ddKVsAk,AyljX3FM-5LWQ-PsZG-ZGsz-zkz1VRWgcHoO,2022-02-27
nW1k,izSqFV,pZyzGD6W-lZEu-HnzK-lY3s-ESdrGTu50P54,YvsMr856-SY8B-hjcs-EET7-mcSSfpnnIBWX,2021-12-16
M39T,Wh0Bce,8E1i8B8l-XFI8-ura7-lVvq-3bGAz1hUEkyL,ZuhE0jQZ-ihn4-LGDq-Pq8R-1zpVH4eJzIIW,2021-12-13
,,UX9KAhY9-xCEa-Ug4z-YtE2-aQcV4pHaKE5n,,2021-12-31
u6MS,TegBfo,2ja4xht7-U1Ta-2olx-IcUh-fnhgZN4D13uy,,2022-07-10
WCJw,QrUlXj,CxjTM9qS-5Oax-MUTi-tBK1-B5r60zaUcamc,a5BA9HdI-Gg40-l22r-1CPh-xc8xlXSEFxOU,2022-06-03
3Fzo,hVVoJg,cPtTkvEm-uac9-HcEf-iv9K-uYrK8UfcWaDR,uDacpXJR-cNWh-KlhQ-KEuF-Rx4uw89eRZtp,2023-12-24
6VMe,Q1uXjf,t4SbE6Xx-NTa7-Wq9W-fgE7-unBiKwcUnMAG,3UxCjuGK-dRtm-kbCE-zPpn-6LhgJUOKgcr5,2022-12-30
8ved,,,t93eq4vL-fVlp-tpXw-LGYP-Z64LrC4kDkqz,2021-09-14
ZRYH,QjhDkT,0cCiCmTK-yGwV-mEBj-hAhC-iGgJxedrytCg,MxMeSWLW-aGM5-TaPr-stf3-yPfoPe7uz4Wc,
Sl3X,4WSj6P,NN4q9JOT-RU9U-n3Gj-H4s8-R3P3u4c84nNL,,2023-11-17
,kBZ0t6,iGaqjqEo-NhdJ-1U1K-lZgl-eQkoMSRMO8Kn,,
f1UF,iWo8xY,G7zVQ4hp-BpW6-gj9y-9jWv-XOCZA7GlI2rg,,
FWKP,tRA0yq,87XWutTN-rtu9-Vicm-kXF7-YmePcc8VaTRU,8bTY8hJz-dikr-m2Y6-kbKJ-IQIjSkUqDMlU,
L6iR,HI7v4S,uB9OC5hb-8Efc-hJWE-0V6O-oOd0MYuT6tE6,zXIS7IwR-czT7-wioO-8RQl-Dm7dV8hRCnCM,
bUZc,7LiWqn,,WypaD1H8-1L8l-G8c0-uxCv-Xi3k9wHxkigJ,2022-03-07
ZFRH,6mEpEW,98xOkWTm-x78s-jGv0-RRpi-eIsX3Gfarxip,,2024-01-29
CDVd,fRSIg3,XNAzLQ4A-7aaI-SwDq-mE6l-31b0QaJ048vR,UORJLwoX-5Zyc-Otfq-Bb71-fGZMahBbiaP0,
hynp,RZBUUE,gjeU15Jy-4Fsc-IPkj-nqWc-PL5KcxFCMsbE,YPxBZfk8-dkB1-956E-srXs-JaTzOad6BAv7,
hq4J,Ph1yBn,cyRJCciD-WHao-ZNRd-LnYR-McU8qq2DW7OF,euTBeoHc-Iz9H-J9lt-l3xh-Bd3nRrBALBnq,2022-08-06
K9d8,7Vnfg5,ElzE6jES-1O6E-lDjY-XhLX-qHgMX46SiJ5I,kQd4tsKb-pTN2-B1Ev-ptvF-8KiJQcEesR7b,2022-10-13
oeZJ,McRiJv,50AxT6CA-PCeC-QFjT-oH3n-F5FptStPrH0V,IjlUwkk5-lWIi-MkU4-c7Qz-gy9gUoq2iRSD,2023-09-25
,znriDT,HSYWdJ8y-swqJ-G4m6-yuc3-bToSLGcVSfOn,ovH2OLFu-40Iz-wzIL-G4Bt-vsvPmxAsDlML,2022-01-13
3cy7,YMksRT,,WZqOtMxL-kfiR-mLDL-H6D3-UCdaQLcIpJG0,2023-10-08
cMmO,RMdR1j,,895iheXe-uPjx-epR9-WpYa-fHcvAXPRKF50,
zcwG,,hiSGULxD-o2Tv-KETU-urcF-LCDRMX3fRQA1,QUJS2vpq-COn9-oBWi-Qjtb-q7toDOxHDJTi,2022-08-31
,Kn5p6Z,XUcFiFTq-rMRQ-dJz7-AEwJ-xx4eQ4yGtiJ9,56Xw8LD6-MPLY-AbRr-qiMt-ZVbqqiROQ6xB,2022-06-04
1u6H,pwB8YR,xUcFfsBG-S3Zn-okfb-KkTy-2yz2z29uOfYc,Vivddvfr-c0XB-SBJ6-n94k-PuHdfIisGfP4,2023-05-20
z1dn,,NYeaj9et-qxOP-8dH5-GaKS-GxMn4dfHNUyW,cEGpybR6-i75Y-mVD8-QCNg-ritInLg7lJSn,2023-01-03
3iiP,wQHWlT,ktmnLYnJ-R2LP-t0vV-QLgg-QFDi119LhO0k,alpogPHy-eMqI-OZY0-tY1x-4pYS6emr3A9L,2023-07-11
fipm,,fWvPikEQ-8g3w-rDQO-A19x-YF0ppfGIFRuc,TBFIwM4K-D03q-9xSt-8vQC-UKA0hGRHdKdK,2023-02-23
,wL6T1N,b0iQwvgY-nQ90-lw4i-Dp1k-CJPoROdvaNDx,mZubWTjk-8MXB-9rSI-MWxS-VfzciCHwzKqO,2023-01-17
nGMj,MuqwHT,GfEjjnH3-NP2C-AFfI-K9n9-dKNHGgdHQhfK,ZTklscP2-BVXJ-ks2h-NZvP-H5vszlUekngL,2021-10-07
AvY2,hGD1oE,gyXs2vXr-10HL-o3Ew-YKFr-jfxzk7AcEjNQ,g3dwqvTN-VPS6-Ar2A-mT0g-HlgGhHAVO9nh,2022-09-22
VMgC,,KlQIJfM4-lE1S-l9bk-agy2-Gc79f22zhRWg,,2021-09-29
,BS0u1m,,,2021-12-17
atCx,ceUU4p,rtfcLePk-Je9R-cj06-ioJ0-GjyUB52BkGCy,FoRHXzgm-Mgzn-wvqR-iFFb-he3930vS5vMi,2023-04-11
iiaA,RxfHIl,NvqDmkvJ-pn10-75U9-KWE8-ZIAJsANjqJ7E,cw1P0Tih-DZLX-rfhy-hAG2-KxidA7JsXhu6,2022-04-29
UTez,wQd93F,4YdEVN6f-qkY4-BKPy-UjBB-ceVpAp7vMbHN,JzuPdjir-Dwow-Fpxc-PMMn-9ZbMPBa1VmgS,2023-10-24
,2GgmJS,kgnvUZJk-6083-zB9Y-1I00-DmSNLbHJdQZh,5jAIRncf-zBgc-uLxp-tgDQ-HKx85iajwC7s,2023-06-23
r0M1,pcZoZ1,m742LLOI-kpyN-eVUT-SZ0J-rbPKjgmqATKC,gHPhO0yS-Q4YD-qWgK-1J3S-7kPh5yPXgDrD,
BUMY,,,vg5SqZ2g-MhbJ-pV1n-O0G6-iLKYtd2iX6MI,
2mpA,yzq45r,ekVWyPCb-J53U-7urH-sN5T-zt2G1Sv4YS99,LDZpLxi9-FYNg-YHLO-pcZH-iVg6kZIeaJZy,2021-11-27
UMOA,fmDDpV,KI7SGFwX-kdR4-9Yky-bnlW-81OJb4rtZuyu,EjXZksTd-T84Q-ytls-n8je-VQHUzbv30iCy,2021-12-24
5HvU,,3b9neE5V-tnwQ-bcOc-TXI0-a3NakdApSywt,WvrQLPCb-j8pL-MCUo-B51x-MFumRR3RR7AJ,2021-09-09
0mq8,,FvmdDYPz-dgYi-zSjT-NNKf-YWnTtiuhlH6K,P3OiXsep-buIl-dRqe-JWRA-npn0N3n3ULmX,2021-09-02
zF61,wnuMVD,w0fDouYZ-kHoo-FuOK-dypW-frEU8ne1wD2d,ekQQrCNe-iQ3Y-BILN-YlLY-S7zAxgQ7RpeB,2021-10-18
D1hC,qFyfPg,ilVeq5MV-tDSN-ABlT-O5hd-UZdc2QSldewZ,YGP9vRNo-BsY3-WFr7-72Mk-uWKlfNFgN3L6,2022-06-18
FrJb,I78clE,,,
DRhV,,nVdPzDTZ-vXbY-PR9d-KBAw-kSvM4EVUZakn,Fr3gLgql-6eYz-91o5-C50Z-Pq3DEUHyPmZZ,2023-01-14
,,L55B3MqF-3gtK-LwYY-yl2G-9v5C5psZZ41q,42ByKaQV-6e8A-BFWD-L6fB-VyZ16Y9m6aaL,2022-01-06
,,qufGq9ZE-ZzhQ-CpY5-dWIJ-1tLGCGFHVXH1,eucBFqZ9-lS8Y-qPdt-3IaL-QQ82MmoaKQxi,2022-01-31
p1Ss,6htKAz,,vSwp2Tvi-Mw33-xC4x-Rsb7-AOroAMSzUe9V,2023-02-04
,,pN6C8KHN-AFJo-1o2t-rv5U-wgeGMmrR6z3J,TSgSqXeN-vCk3-FhZ4-dPGY-CHYGYPYpydDL,2023-07-31
,KeFM1s,LF6qjugO-eCfe-WF4b-Mx7j-whVaJipNppnx,RlgxpQbP-Mfr3-kUt6-YP0k-dKl18x8ZsfBm,2021-12-17
47Uk,JXca2r,pM8gAvs8-duZn-MBN4-OpOQ-YRBUEpYO068I,,2022-01-13
gI2G,qNGCWg,0GOrYCnu-HNt6-zgn5-0OZW-bJUsEdCn7QfU,oStOCzo3-YNr5-T9X2-Z6oD-pTNzY934dpv1,2022-02-08
N231,dEZWzS,,umQ6ERrZ-wp7k-7VIs-OEtN-oavRdAemkVAh,2022-03-14
,xQjEuz,XB9FDBQG-negG-wV9Y-nKo8-z5PbBIr3WxM2,Hq9OV7dz-12Tw-WIXn-uGwc-wBHh7nPXfnmN,2022-01-28
Ccod,,NeqpZLF1-CeHW-x2FC-kl0I-rWifRA0aetBv,XRc9oyiV-QYHf-MMjU-A21d-rx74z9Yacxib,2023-02-10
ZXCU,kobp58,SbpO75nK-oWeo-gENe-BkwO-4F16U9pGT6Tg,P8HNLCSN-fsKJ-YoII-Pk8L-9wFDJSForBIQ,2021-12-08
iQZO,khtyOe,w0mVJZ0F-RjkO-PMy7-9uPY-MDWCQq5NJWyt,HGT6hq3D-5MQZ-kOB3-GWww-HwZLlPBTWUt6,
wgId,Kz8Md6,Wc40XwcC-ohnX-Rj2V-Ys4Z-BiTi2dWMCFi3,I7jaXJyA-bxHG-rREJ-1Gtp-mdRmkESBPZuF,2023-07-13
fhjR,,Y5a6qB2A-zbsg-Tt5I-ZaTT-8At3GIvXctl5,y5JEM57J-DUVL-q3Mt-RgrB-4nEyW0SM34ij,
BZCO,zuztvp,,tuiuhXnr-HfS7-h1wH-aZ9z-XfKYxxUbdrIH,2021-11-06
adYU,bfX9IL,sl48i91f-MFDc-mdcp-D9hB-EC8x91kdj0Na,WpgHh385-aCR2-HpoF-FxPI-xdu0kSCpyBKC,
7O7r,,s3lUBpv0-bLLM-WbaC-y9RQ-V7Ai1LSKuRSe,NHh9AzKy-DLth-mwJZ-WtEK-UjRJYu9xBNvv,
QIaI,Yznlvx,,lp1TVrRx-0Tj4-STqb-uyzU-P9mF8wHccI4s,2023-05-06
KAg0,SGY4rT,i5BHgdtm-7L6b-D3gr-Rab0-1GNJxuxADVvl,qkBR3uhT-Uw07-rHte-lX73-bW1xuWoHEJxU,2022-07-09
NtKH,f5fDRC,W8BX2opu-mFe9-fEaj-sOnP-ouJ5K3V6WVxm,ZM9T2Ko7-VnDU-4c2j-iq1J-dzjTQlAJF9UF,2022-04-04
DdiR,,5qSgZkOp-0Mgx-CBo0-rCy3-b5XUTnARrIGq,I3uRuQhI-PqVv-8tIU-uPjQ-hG7QzBsmNXIc,2023-02-19
0Syb,,r5DGOip1-dIan-OYJq-eqAM-imWBhUM3hmIu,kKd3M1H4-oyX0-wa0a-Epbp-bjS0EKnesykf,
YyXf,EBASs0,,g9JxpAVs-rAvx-FvaB-BT2q-M9TtdJQj1O0e,2022-10-19
,Jb8OY2,,,2021-11-04
l1n8,cxMMiu,NozvXXdF-HS5a-tT3n-k0Em-UixHs7CvfcIk,,2023-09-14
IyYb,ze9rS0,TPg144sT-yZPK-n94n-4Lki-ObyCmePoPrwI,Uwy6HlHr-zFoC-mwD2-zALl-Qx33roNnvaxy,2021-09-11
FyJn,IgA5st,K2uC7PKE-25s9-d8ls-aujj-O4Nvabn1TOW5,U5ty0i1I-gzHV-XQil-YJkO-jpeqVGQGpZ0R,
,d97g68,WMnOV29o-PXtM-lVYx-Yc2w-wcjAYoHfcSJU,Nc5lNIqI-qdNH-jiNs-1n9X-VZZ1hGz2W7fT,2021-12-17
4Dbz,FmgoAK,,IbIg0wjn-qYRe-LCAT-ktCI-E7BaPdcO1W0n,
,V4wzFc,,ZxNqQHuj-0kYg-APpL-pXxL-8J7xYVbbSOFs,2022-03-23
,,qRCBp6bN-UGbh-GZ1j-OKuW-CjsfloPBzqcB,YaRXmaNt-IkNX-3eIb-8Nth-CJYhh02UqPFT,2024-02-23
,xrhjVt,YQd32YPs-6QCd-mz7f-xiW8-iGogoJvOM96q,mX8ygppQ-02tG-2bwU-aHaD-2HO7vINTDfl9,2022-01-10
d37Z,zxlMfR,wDWW4xyc-JCyV-cQSr-6kO9-bSWFSgxou8O7,rz86WHRW-WtKF-ewoz-Cet4-WxGM3GnfUKYe,2022-11-15
Pjf8,,WzCnVitX-JAFY-Ry5z-MFiT-5zNq3cDgULAB,TmawMy6F-EhDY-9Nt7-pHwn-irXDasFEJm6V,2023-07-09
Tr13,nkgcqo,X4W5HypF-AYV1-kDwY-Vhho-jtcXM0Rj2LLc,ScgaCUfx-1lzj-YBps-ablf-9HziWBb1Hwkp,
H2hA,PiVqCi,,,2021-11-26
Ga6J,,8Mz75gNq-mqww-8LGU-w1BS-a2JJULBASEk4,orGfxTML-tslb-0mu7-FWBZ-fwb7fRdIu3as,2023-07-24
AorX,,RSGA9mvh-auaP-tRDJ-wApO-3zz8wx0onZof,gbHsN2DJ-56rH-K1Nd-nQBt-lJXQtqlIZKr0,2022-07-29
,tIaoRd,kAVZSlGz-c8mU-CyGO-ZHwA-zyiFpc4AWncA,Ba8xBaTZ-coUk-JL2x-b3J5-t55gepp6HVqU,2022-01-21
,UH0pYe,Npja55GO-YvfK-5JEb-GGB6-AAI7Suc57fJN,ejWdi6WM-vf6C-SEwR-H4EF-gyUjT8rkyqnY,2022-12-29
30lW,z9MKwk,PIfJQRXA-z8dw-fW74-EHDX-UXXfkXy1gGVG,w1CJXIdg-4IoO-DqUM-aMbL-gj4qJd9N6lCI,2022-08-20
tqq0,ajQQWq,,iTf0EINn-1GOQ-8KxB-2syb-pntYIQ1Q5B9U,2023-09-01
LD7Q,yObQd0,JBN76ezS-wBkJ-PfC7-j5BZ-7gccobZqwbZq,F9TRsUah-hsF3-qSw6-15jB-byawXPeExFJy,2023-06-20
9GVI,OrtN3R,hdZiTA9b-Xfoc-DCmz-jXYG-UP2Ys0kONtdr,vnb5XbwI-afsU-OC8e-AfJg-fHMNPmKlwJt8,2024-01-07
,NQykBe,QXrLwkCl-KtHK-B8Af-oseX-CbeXhMEoK95C,uilnL77g-4Brf-cLmJ-HtTs-f2tsc5d2S5Pp,2022-01-20
7pA9,IcB8RC,eFQj175u-9kMS-bAXS-G9vY-lXlewDMp56nY,,
qrN3,wCbobA,UGkpfmc9-Dfm9-IhaB-EVen-PkimP87iCrEz,YuwQpff3-4k0s-acAh-x8Pp-HGNdVVJu6m5s,2022-11-11
Nxgm,hYeWG3,y5RM4U9w-Sxna-4vw2-utKv-70Ch0oZXN30n,DKaPDykR-1fx2-Zt4M-dfZL-UoIqzm5bzXoS,2021-10-19
RJUi,7mzmHt,sWjGFYnL-Ebvp-tSZd-OMxK-jm2BZrdQRpGm,B7vNYrlz-cNNx-UeDy-apBw-kRL36ficpsIg,2023-02-26
IJxr,8mR30G,20ESZTH8-NBiM-mBYj-tdAR-zWSPoIw9GBei,sOocIfSe-wlbp-G9kw-qfTd-hMqIiZpSTkeX,2022-01-14
cr69,hJKw5c,umvDmHOk-ucAz-d798-eR3R-Tz0pBoJCcqpB,LB8TaFz9-fuVt-X2A6-I2UC-OhiQKw0MGweO,2021-09-06
lHkp,SZMZDi,qzcHjieI-zJVG-JBKP-GwQa-uxnzqzX5qyQj,13UlUIlm-Qvau-nnWv-HkbJ-ebQWzsHcPbXh,2022-02-25
WzMe,BZ6nYW,Z5jLrhXE-S6dr-DfT4-eZWv-IgHmicNgDqgK,C3pPZdc5-P5K3-nn3R-GpNw-cts5Yjxu7r4v,2023-01-11
SHiH,X9sK5o,,xU5zpSe9-E2eF-n7re-erVp-puHrA7tSXZp6,
3d1f,K9vk2P,77zLbbLL-8U4B-jeOt-IqMO-fWyjjhypYJOg,QlluWBB0-wl3Q-ENEx-PdDH-BKv9JoifyWOz,
o5pe,tSsNPO,5QS6dAHt-V0ry-kVYP-hI44-0rbzk6wNMTBW,,2022-01-01
QGMs,JJ7V3z,,D4rKZrgv-kKR4-ryqp-bRdM-eGGAqbGiZJz7,2023-04-21
,,nl0sWqiW-7Y4I-VwzD-90A5-4qiLu0lGB4QR,,2023-09-24
zpiK,6Vxivi,SHJfCS1Z-F4j1-DpC5-wPR4-e5PRfGLCRq60,,2022-05-11
oFcu,,,NIcssobG-ylcg-E0zD-zezq-FrtIwTjmyT7J,2022-06-23
,d3QjsZ,dhYyzjmn-tiSG-4AYR-ekO8-2KuryuWPf7Ds,xJL4IFeD-Bs73-bH4C-DxiZ-NZqjwLsj2n65,2022-12-09
9QkM,5mlh78,S6gKhd1k-XrY8-C80u-0WAs-Ev5f5IFD3Gu1,,2022-09-14
ZH13,7FcYDP,KMHcxOj2-bupT-IpCf-YDEH-nWV6xSQxju7F,,2022-08-26
TIQH,,82CGMtQO-2WDK-KoOf-kX3k-5XFBTFwoudpj,KxogvTB1-XA4S-pRfn-aHPC-rZ6sQfMAph5F,2021-11-04
Qr8X,,f6BYViT3-EW4b-2vhf-4nJy-Y9aXrebtAY2z,,
dVaW,VS4jMB,G7YRcVnl-tdbl-NS08-fquU-TRM0foc1lwmS,sm04ascT-7QgB-alvv-utyN-jXGsoGyGU2Eb,2022-06-18
bqpm,kmieCS,VSwzC5al-xqPx-eL0j-igS7-lKpOV73U6x2W,0TEha1xg-Xzux-cyVT-yqBn-N7ixxWfdbzS7,
6YOw,MBPK6U,JV7Ug9bi-aud5-cXtg-3DWh-K0l4WERjo0w1,xvlncmJm-NGU3-6AFQ-iMtt-VqTjYNyxF4V4,2024-01-04
XUJL,dFPkuY,MeWcJOce-5jSp-667C-ymSV-BY5g0M0U4atc,ULbUKDlx-eDx8-N0o1-E8fB-PxlMVzs4ROTK,2023-08-19
SYAY,bQbgUT,qn3EOyZJ-1vAb-NQjm-tlJd-4LIBmmDs0wiT,Z5yqLmgv-IGGi-Ci9D-XVnU-FNcc03a0n6Rc,2023-02-07
dMUb,OjNI4V,22UVCrCo-Xvbt-TsfE-BBWC-PCyz8V6Nfqw7,UmlnP6SS-FH7O-qzJp-SM6n-072EQfXoc8I2,2023-03-23
YSax,,7pCil7Ix-XajQ-gdLg-CRkP-LLDJk5JWpC89,uJl76boZ-8gzR-x3ty-dur4-q1aP4fZCHdaj,2022-04-03
,7B53Bg,,fzMinwy8-l90P-Ho2n-nJic-pcnVWlv79rgL,2021-12-03
qW5O,qykqfl,nlN0smK6-uCfB-kxS4-eew1-U4uz4uJ84wmh,mXTsGurG-zqv3-lb9V-Yaf4-gN4aaFwPbQ7d,2022-04-30
9erg,8gFQP8,9s1xdfjb-QBXv-rePu-gerg-SCT20VAbOWFf,9emdhenG-MsP9-bxRh-5QzJ-kaf9kb4WziaS,2022-08-08
HaLP,qr9uEL,j9CVdDzA-Dkjm-t9WM-n5qn-gLkIM8AVP2uQ,XEC58vHJ-HW3Z-0ECA-MyT5-PTlQj1mPq9Mn,
FrQL,BtgiFd,7gdDorzz-S0B4-fqVo-dhYB-4tyss7entSoH,4mrgzFCK-2Zhn-jSpE-HwYr-WKYtswCzcEji,2022-01-08
LYm3,SYC7Zl,xtZnx3Gk-1UZm-mGCh-kAPT-OLhSshdtbqV5,CZiCeDC8-DPQw-S816-GX2d-7ojcGJCQTL40,2023-11-06
,9BDXcH,,jpZ6rTfX-Atd4-8IH3-mPDo-fsXXOMPz67jA,
nseN,,,5T0VWLZX-dyS8-OcFR-Bomj-MTFSpuUtsgIL,2022-08-14
ivzB,CqLFXd,8HXvZzAJ-04kd-C4U0-3URZ-EIdWbM8YA9G2,,2022-08-23
hw5y,kKwVym,d3zzSf9U-B2EB-Mxy3-3PdY-Mg5YspKYVZsf,sP6Xn3xi-zk3K-sEn7-S5Vx-96snwsG3eOdY,2022-10-31
,kvzSNB,16fEhUjC-euPU-uEnb-ptER-xw8EvS0ab7Dn,NqlNngoC-FP0q-829P-llDL-5uD0f5massbj,2023-09-04
dPEp,UvRmgG,MlIyNhzm-o2q2-HxFL-697t-JqtZMU0sPZsB,hTkFntAP-ZU3m-wxLC-owcz-Xs2mQWqrtlB6,2023-05-19
KNOS,oeLJmQ,LNNhyGRn-mcoi-5Buj-XdJs-zqw3rcainTj6,6IH1BSIm-bpFB-xiF0-dxEV-lodCgtCoMa4x,2022-07-10
WnLK,srdvRV,miXz7csr-bz2A-z44m-jML9-FocgzMqLkJf4,yD9x1M0m-apq7-tIpR-7p2Q-qQmuWnXQexyr,2022-09-08
oT8M,jsmRLt,iX3zUOOh-NmN1-YXNJ-VdzN-dowK5CvVZdsQ,lhjYf2My-wO7p-u962-rMgE-aiP54oKCvrbJ,
,ogHfxI,,wFAYwjGd-V5Se-VmNz-Fihm-VwhonvFphZQS,2021-10-07
A72h,6zOfyv,gHnID3hU-G8HA-shQ4-PAVC-yJTBaCNx9hKK,uhLwY9uy-AQLk-fhqN-uczg-2MatdrHZXNbd,
iigJ,UsmKjr,2yjVgsKy-PQP5-S3O5-h3vg-Kqbswv5CntIV,om0BBXWg-RxL8-nUAz-iJqp-1kocwnEMPXhj,2023-05-08
,,NFK5qQGv-vCtR-oOwx-KTBK-Ml25Biw8L2bb,bmVko1TA-pdkH-P1K4-3esQ-IzgNI8K22VIy,2023-08-08
q4Xj,bDarHi,GPXbDBbT-osK5-my5j-sloO-fsanx2iJjHQe,u535ZCrl-FYVn-4Mp5-xyuv-vyOaoR9dPzlx,2021-12-11
hxJt,8i893o,jeuPnmdY-Oq7K-s4VJ-WYPm-ull1rsT1ZYXQ,bbLBrgHW-g6Oj-6GPJ-b0gy-DizpOMClWnXV,
jY2R,6Ldgw5,cBBuggqc-AgNd-WILN-zu8y-3X3jL1rgE0rP,,2021-11-19
4kIQ,,,,2023-10-05
Rky1,IX2LjC,,kwYlx3nl-QMpo-zC6M-b06m-m3RtVxgvT95v,
lT6f,WqQK7c,9TsGK072-UP50-sbnc-uoE7-vlj1M0AJZwz9,jFdlEpkZ-FT3V-iMmg-r8EO-Fl0qRxL0D1oB,2022-09-06
zMTJ,sRlstQ,YeBmvN5D-Ch5Z-al0j-pFKo-uOuZkH5o6qbz,Yq5iTGU4-nQk8-5adY-TmJT-PlXbTPdgLeXB,2022-09-25
HImE,ihhixu,zEKFHGnb-EW6c-wgHc-pyXA-pfmqQYTHSBda,,2023-06-29
iLSt,aNjkwY,zJyYNdx7-kTwg-KHxd-vQPm-Iw5E8tNpmrSR,5lzCguUG-pigq-G47E-o5rM-cPMIvGmEqnRp,2023-10-26
WnnG,NSnRvG,uavTxBuv-pBtW-ZGSd-nRCy-BC91mb0SeeWe,c1SCIpFi-vxcx-Eu63-kRUk-urw8kwvuuQH3,2023-03-05
DMXZ,S1gjvp,Uik8640G-msjs-MrWn-FkKr-gAvD58UiblMh,nyrahObp-4iPp-L938-O2mr-sHla5GJl9T9F,
vEL3,hrPmSM,L7NKyQYW-XsqI-GOtf-Cgog-Xm0sLsKE2X2g,r8MU06n5-IHWc-JeGA-pP5j-eK52Kg2CYr1d,2022-07-16
pKfi,uJV4zm,,KFfeBJBA-XbTB-P8TF-uyHJ-h43tmYAkdPan,2024-02-29
0X3f,,MLpvg9sO-jK3d-rz0E-fptP-7ZjzRM76dvoT,LKgS5n2o-tsLv-biBR-DFWs-fvRUkZTl1Cwt,2023-02-08
,,,GrUouIvq-Zdyj-8edS-OuEQ-odYI0RZ3v4PU,2022-10-21
,KsJzDb,PFwU7X4y-6MHl-5FUC-r5qA-4THmHa9lqnPA,GeLWrKCB-m6Gu-emwT-aoP7-Cpxmb2t4NaMV,2023-11-12
LhHC,mzxVOG,VJCEGMIN-vwO5-GfmO-s2KK-Z1NwsQXfOATF,dmiM94U6-g2Fs-OuU3-cwia-J8txUdR6BTqi,2022-09-25
1HcD,t31LU6,2uIhqzMB-Jpkw-6ElC-IpBi-hUwrwA8r9IWH,7wQypFGW-7nyI-BzdF-RmoK-eVK5OAmJKjma,2023-04-24
28YZ,,,KLUKRHdW-2vJI-D0vS-1I1s-tuHPNiRxYoTl,
,NP1TRN,mnHAg77v-tp3I-VVbA-iEOO-D3SPln9q8JZB,,2022-07-29
ASoG,cwIZlT,iL9a2v8Q-F07y-YcGy-huQf-DlMufUXVXQCH,,
tnWT,F9pvm7,hwtYNiwW-vqdd-0gWo-LLt8-OYcCMqaolYfU,44r8W2qt-TkA7-WBiR-BAJ2-p3yszGzNW5gO,2022-06-18
tslM,b6YcAh,mJuDdoyH-2PCU-fgkJ-xwRe-BvJnRPai16X0,9Dr3zwyv-uqEZ-Q4ZK-uv3U-qgmP1aExHKkk,
lTVg,,,CCMEWRq8-ppWv-DHVW-8C9B-GQ25ciZlX9qw,2023-05-06
NBw2,TstfNp,1BwZdM88-GSRq-aJqE-a5aD-2bt3PtKrnCxi,4sV5l8qI-ljGD-zyRx-bqCN-7iDuGNqB8jaG,2023-01-20
YrQT,OITLsI,yqvkARxw-ropq-fA4o-w1jA-tuv1g00j6oZG,xQJEsNPQ-ol8F-NP36-JI9h-P5wlP4UfmSU1,2022-06-10
P20o,ZdjfsZ,xaZO05kT-TPFW-eX76-n203-m3TmIkmsS19s,pey3FVjx-pjXG-W06D-1yE5-k4Fq3wI4PbGu,2022-01-21
pLKg,wOnUWP,x1F3ESFj-FY27-gqvb-KT1n-cKURRIZgIYQc,ERXbHaPS-rtng-sgAM-3YnD-se0L2C1dCiaR,2022-07-20
RC1Y,FVlIXN,kdAyje1M-YuxW-46VY-Uzg9-VmmMw4sOxCVp,6ShTjFLQ-0XHk-tScw-mLId-Y47ZK2xqTQM2,2023-06-08
fwEi,qY4ZcU,TB0MZjqZ-XNv7-rE1j-xs1q-NWYeGuJpAnwB,zQVfDgxl-GNSo-8Tiz-sLMy-uhI1obzJHM5U,2023-06-13
qhoR,mTQQcO,HYaCYTEl-RVsw-lDZN-0IOm-mdFVh03eV1bK,,2024-01-21
qy7w,sF5zpV,Cj4L0iIV-p7Rj-ALUo-xnuK-ncdlOXv91bEc,XWIpTpF4-1LrV-la8V-DIov-xooehKT5zr8I,
wtLb,dAmPS6,,so49emkA-v62z-Rvdr-38h2-4Hk1tYmcCeD3,2022-07-22
QtEn,2qCMO0,SmAJt9MC-IHSV-lKX8-bcs9-Ix2gBvvZB5ry,AQGPhtsk-SfaH-YXFD-gAbI-XBA6v7uJ9oal,2022-12-12
3HnQ,bAwNmL,,hnFf6220-koxS-x0xY-kjyq-XLLm4ibblt0u,2022-05-07
